,C1,C2,C3,I1,I2,I3,O1,O2,O3,F
Region 1,0,0,0.00784,0,0,0,0.019751,0,0.002442,0.019102
Region 2,0,0,0.007982,0,0,0.000675,0.006565,0.011991,0,0.047125
Region 3,0.000093,0,0,0.001588,0,0,0.012492,0.004642,0.008284,0.041883
Region 4,0,0,0,0,0,0.000329,0.014522,0.004639,0.000234,0.045253
Region 5,0,0,0.002304,0,0,0,0,0.009173,0.00016,0.023369
Region 6,0,0.000595,0,0,0,0,0,0.000179,0.003333,0.008695
