feature distribution of C1 in region 1 - 6
Region_1
Subject#1,0.170591,0.332193,0.000000,0.000000,0.000000,0.000000,0.000000,0.071701,0.000000,0.202653,0.285452,0.148534,0.254284,0.000000,0.138235,0.181108,0.000000,0.174265,0.000000,0.151321,0.000000,0.171104,0.000000,0.000000,0.000000,0.009519,0.272162,0.000000,0.000000,0.000000,
Subject#2,0.272326,0.410744,0.235223,0.249127,0.259450,0.402756,0.353521,0.062691,0.000000,0.000000,0.387916,0.207632,0.370724,0.113563,0.322407,0.164673,0.387781,0.205835,0.237617,0.287180,0.423917,0.000000,0.255961,0.138226,0.053069,0.332918,0.035327,0.000000,0.000000,0.343600,
Subject#3,0.132810,0.182732,0.000000,0.188011,0.155282,0.000000,0.000000,0.000000,0.377374,0.001612,0.000000,0.000000,0.176171,0.277708,0.177439,0.000000,0.208334,0.031731,0.054804,0.083840,0.000000,0.172007,0.000000,0.000000,0.122150,0.134625,0.000000,0.242333,0.276906,0.343970,
Subject#4,0.000000,0.000000,0.005465,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Subject#5,0.108383,0.087458,0.224666,0.014182,0.000000,0.000000,0.217882,0.229709,0.039358,0.182493,0.141381,0.093518,0.155088,0.004743,0.128424,0.203129,0.152178,0.134354,0.103855,0.109435,0.000000,0.059535,0.000000,0.028143,0.076400,0.184510,0.180871,0.063684,0.014415,0.102560,
Subject#6,0.000000,0.147480,0.060558,0.152954,0.066440,0.000000,0.221703,0.088450,0.248600,0.000000,0.079394,0.088149,0.081094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.073056,0.000000,0.000000,
Subject#7,0.000000,0.155435,0.000000,0.000000,0.000000,0.000000,0.116381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004410,0.000000,0.000000,0.000000,0.009768,
Subject#8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087090,0.000000,0.000000,0.000000,0.000000,0.000000,0.065173,0.047115,0.114020,0.070935,0.000000,0.041805,0.000000,0.050470,0.000000,0.000000,0.110453,0.018952,0.081558,0.000000,0.000000,0.068768,0.000000,0.000000,
Subject#9,0.000000,0.000000,0.267676,0.000000,0.000000,0.022711,0.000000,0.000000,0.195184,0.026805,0.000000,0.000000,0.136095,0.078684,0.010242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048156,0.000000,0.083498,0.000000,
Subject#10,0.168908,0.000000,0.000000,0.003200,0.000000,0.283887,0.004838,0.000000,0.000000,0.000000,0.084425,0.000000,0.000000,0.000000,0.006282,0.000000,0.164036,0.000000,0.000000,0.000000,0.001327,0.000000,0.000000,0.098811,0.000000,0.000000,0.000000,0.015081,0.000000,0.000000,
Subject#11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.295410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
