,C1,C2,C3,I1,I2,I3,O1,O2,O3,F
,0.602777,0.000000,0.266437,0.000000,0.000000,0.000000,0.765920,0.299615,0.575421,0.368390
,0.000000,0.000000,0.650996,0.000000,0.000000,0.334245,0.916689,0.399684,0.042456,0.510826
,0.102629,0.000000,0.000000,0.000000,0.000000,0.585846,0.672894,0.440210,0.453561,0.521040
,0.000000,0.000000,0.000000,0.000000,0.000000,0.568015,0.722216,0.386492,0.592390,0.483780
,0.000000,0.000000,0.795722,0.000000,0.000000,0.491425,0.428568,0.279669,0.688823,0.378191
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
