,C1,C2,C3,I1,I2,I3,O1,O2,O3,F
,0.558571,0.000000,0.261002,0.000000,0.000000,0.000000,0.808524,0.394758,0.409078,0.397217
,0.000000,0.000000,0.642874,0.000000,0.000000,0.292428,0.878701,0.377687,0.000000,0.551264
,0.047177,0.000000,0.000000,0.000000,0.000000,0.523991,0.527280,0.471865,0.509375,0.557588
,0.000000,0.000000,0.000000,0.000000,0.000000,0.468865,0.699515,0.406789,0.587851,0.521327
,0.000000,0.000000,0.777814,0.000000,0.000000,0.392125,0.332370,0.322743,0.733123,0.411881
,0.000000,0.000000,0.669042,0.000000,0.000000,0.944634,1.358249,0.000000,0.572173,0.210714
